date,high_c,low_c,rain_mm,gust_kn
2024-01-01,7.61,2.89,0,3
2024-01-02,7,5.28,11.94,6
2024-01-03,9,6.72,10.16,11.8
2024-01-04,9,3.39,8.38,8
2024-01-05,9.89,3.89,18.8,23.7
2024-01-06,8.28,3.11,19.05,15.9
2024-01-07,6.5,0.22,0.51,0
2024-01-08,10.72,3.5,28.7,18.9
2024-01-09,8.78,2.61,6.35,44.7
2024-01-10,8.28,0.61,15.75,21.8
2024-01-11,6.22,2.11,6.35,23.7
2024-01-12,2.78,-7.61,0,17.9
2024-01-13,-3.39,-6.72,0,13.8
2024-01-14,1.5,-6,0,6
2024-01-15,4,-2.39,0,7
2024-01-16,3.39,-1.22,2.29,7
2024-01-17,7.22,1.39,5.33,18.9
2024-01-18,3.89,1.72,32.51,9.9
2024-01-19,8.61,3.61,1.52,9.9
2024-01-20,11.89,5.61,7.62,9
2024-01-21,10.11,6.89,18.29,10.9
2024-01-22,9.72,8.11,0,10.9
2024-01-23,9.72,7,0,7
2024-01-24,10.78,6.89,0,11.8
2024-01-25,10.11,8.39,0,11.8
2024-01-26,11.39,8,0,6
2024-01-27,13.61,10.78,0,14.9
2024-01-28,14.22,11.11,0,12.9
2024-01-29,15.78,11,0,14.9
2024-01-30,14.39,10.28,0,7
2024-01-31,13.39,10.89,0,6
2024-02-01,14.72,8.78,0,12.9
2024-02-02,12.39,3.78,0,6
2024-02-03,11.89,2.72,0,3.9
2024-02-04,11.28,2.61,0,9
2024-02-05,9.11,4.22,0,3.9
2024-02-06,9.61,3,0,7
2024-02-07,9.5,2,0,10.9
2024-02-08,8.61,3.22,0,13.8
2024-02-09,8.39,3.61,0,1.9
2024-02-10,12,2.72,0,3
2024-02-11,10.11,6.5,0,14.9
2024-02-12,11.5,7.11,0,16.9
2024-02-13,11.28,2.39,0,5
2024-02-14,8.28,0.72,0,10.9
2024-02-15,5.39,0.72,7.62,7
2024-02-16,7.72,2.78,0,10.9
2024-02-17,7.11,3.72,3.81,9.9
2024-02-18,9,5.5,1.78,6
2024-02-19,12.72,6.39,5.59,6
2024-02-20,11,6.78,7.37,3
2024-02-21,10.28,8,9.4,11.8
2024-02-22,17.11,4.39,1.27,3.9
2024-02-23,14,2.28,0,9.9
2024-02-24,8.89,6.11,2.29,10.9
2024-02-25,9.22,4.39,22.86,19.8
2024-02-26,7.72,1.5,7.87,24.9
2024-02-27,9,2,22.86,12.9
2024-02-28,10.39,4.5,56.39,19.8
2024-02-29,5.78,1.61,20.07,14.9
2024-03-01,5.5,0.72,13.46,7
2024-03-02,7,0.89,17.53,15.9
2024-03-03,5.22,1.28,22.35,16.9
2024-03-04,4.61,0,19.05,13.8
2024-03-05,7.78,-0.78,11.18,8
2024-03-06,8.78,-1.39,0.25,9
2024-03-07,9.22,-0.72,0,10.9
2024-03-08,11.72,3.39,3.56,3.9
2024-03-09,9.78,5.61,26.42,20.8
2024-03-10,8.72,4.11,23.37,15.9
2024-03-11,9,4.22,25.65,12.9
2024-03-12,9.39,2.5,5.59,24.9
2024-03-13,10.61,1.72,0,9
2024-03-14,17.89,1.78,0,6
2024-03-15,24.78,4.61,0,7
2024-03-16,26.39,7.22,0,9
2024-03-17,12.39,3.11,0,9.9
2024-03-18,18.61,0.5,0,10.9
2024-03-19,10.28,4.5,0,9
2024-03-20,11.39,7.11,4.32,7
2024-03-21,11.5,7.61,13.46,6
2024-03-22,11.78,8.22,8.38,6
2024-03-23,13.61,5.89,6.6,9
2024-03-24,12.5,6.89,0,12.9
2024-03-25,10.11,8,2.54,9.9
2024-03-26,11.72,5.61,3.3,13.8
2024-03-27,13.28,5.89,28.96,12.9
2024-03-28,7.78,5,37.59,9.9
2024-03-29,16.61,4.89,7.62,9.9
2024-03-30,12.89,0.5,0,13.8
2024-03-31,13.89,0.5,0,14.9
2024-04-01,11.89,5.78,0,8
2024-04-02,11.22,5.89,9.4,18.9
2024-04-03,10.22,3.28,1.02,12.9
2024-04-04,12.78,0.11,0,15.9
2024-04-05,12.28,1.22,0,13.8
2024-04-06,10.72,6.11,5.08,11.8
2024-04-07,11,6,1.27,11.8
2024-04-08,10.5,6.78,43.43,17.9
2024-04-09,12.28,3.78,3.3,14.9
2024-04-10,14.11,0.78,0,11.8
2024-04-11,11.5,4.78,9.4,11.8
2024-04-12,17.78,5.11,0,14.9
2024-04-13,15.78,3.22,0,13.8
2024-04-14,12.72,2.39,0,17.9
2024-04-15,12,5.5,1.78,19.8
2024-04-16,12.11,2.22,0,17.9
2024-04-17,15.72,-0.22,0,12.9
2024-04-18,21.72,0.78,0,12.9
2024-04-19,23.39,4.5,0,8
2024-04-20,19.78,9.11,1.52,20.8
2024-04-21,13.11,4.61,0,14.9
2024-04-22,15.61,1.72,0,14.9
2024-04-23,16.61,2.39,0,16.9
2024-04-24,12.5,8.61,5.59,13.8
2024-04-25,10.89,8.72,39.37,11.8
2024-04-26,13.5,8.61,3.05,11.8
2024-04-27,11.11,8.72,18.03,14.9
2024-04-28,11.72,6.11,3.81,16.9
2024-04-29,11.22,3.61,9.14,15.9
2024-04-30,13,4.11,17.27,13.8
2024-05-01,11.89,2.39,0.51,9
2024-05-02,16.89,2.28,0.25,14.9
2024-05-03,15.89,4.5,20.83,9
2024-05-04,10.11,8.22,17.78,13.8
2024-05-05,11.22,9.11,3.81,14.9
2024-05-06,11.39,6.78,7.62,16.9
2024-05-07,13.78,4,4.83,15.9
2024-05-08,16,2.28,0,16.9
2024-05-09,24.5,4.22,0,9.9
2024-05-10,31.72,9.61,0,11.8
2024-05-11,19.89,9,0,11.8
2024-05-12,17.22,8.61,0,16.9
2024-05-13,16,8.89,0,17.9
2024-05-14,18.22,4.78,0,14.9
2024-05-15,15.39,8,0,15.9
2024-05-16,12.78,7.89,1.02,14.9
2024-05-17,14.39,7.89,0,14.9
2024-05-18,13.28,7.22,0,16.9
2024-05-19,14.72,4.61,0,15.9
2024-05-20,14.72,4.22,0,18.9
2024-05-21,11.72,8.5,38.35,14.9
2024-05-22,13.78,8.61,0.76,17.9
2024-05-23,14.72,8.61,0,9.9
2024-05-24,13.39,8,4.06,12.9
2024-05-25,12,8.78,0.25,12.9
2024-05-26,12.28,9.72,4.06,12.9
2024-05-27,14.72,9.78,0.76,9.9
2024-05-28,13.28,9.61,4.32,11.8
2024-05-29,14,7.28,0.76,13.8
2024-05-30,16.22,4.61,0,15.9
2024-05-31,18.61,4.28,0,12.9
2024-06-01,14.5,10.39,4.06,9.9
2024-06-02,13.28,11.5,60.2,15.9
2024-06-03,13,9.5,12.7,21.8
2024-06-04,15.11,8.61,15.24,21.8
2024-06-05,18,5.22,0,13.8
2024-06-06,18.22,5.39,0,16.9
2024-06-07,22.72,6.11,0,14.9
2024-06-08,17.72,9.39,0,13.8
2024-06-09,13.5,10.72,0,13.8
2024-06-10,15.5,10.11,0,12.9
2024-06-11,15.22,9.28,2.29,18.9
2024-06-12,17.39,6,0,16.9
2024-06-13,16.22,4.39,0,14.9
2024-06-14,14.89,6.61,1.02,10.9
2024-06-15,14.39,8.89,2.79,20.8
2024-06-16,16,5.78,0,17.9
2024-06-17,14.89,10.11,0,17.9
2024-06-18,17.11,8.89,0,14.9
2024-06-19,20,5.89,0,13.8
2024-06-20,23.78,7.78,0,12.9
2024-06-21,15.11,8.28,0,14.9
2024-06-22,15.72,12.22,0.51,9.9
2024-06-23,16.28,11,1.02,12.9
2024-06-24,18.61,10.5,0,13.8
2024-06-25,22.61,7.5,0,13.8
2024-06-26,13.78,12.5,12.95,10.9
2024-06-27,16.61,12,1.78,12.9
2024-06-28,18.89,9.22,0,12.9
2024-06-29,17.72,9.61,1.02,8
2024-06-30,18.89,14.72,1.52,9
2024-07-01,18.39,12.72,0.76,15.9
2024-07-02,17.28,12.11,0,17.9
2024-07-03,16.5,11.11,0,11.8
2024-07-04,24.89,8.5,0,12.9
2024-07-05,30.5,10.61,0,11.8
2024-07-06,26,11.28,0,9
2024-07-07,26.72,12,0,9.9
2024-07-08,21.89,12.61,0,11.8
2024-07-09,21.89,10.89,0,10.9
2024-07-10,15.61,12.39,0,14.9
2024-07-11,16.39,12.22,0,14.9
2024-07-12,,,0,12.9
2024-07-13,16.39,12.39,0,9.9
2024-07-14,,,0,13.8
2024-07-15,12.72,12.72,0,14.9
2024-07-16,,,0,10.9
2024-07-17,14.72,12.72,0,11.8
2024-07-18,18.11,14.5,0,9.9
2024-07-19,19.72,14.5,0.25,10.9
2024-07-20,,,0,13.8
2024-07-21,,,0,14.9
2024-07-22,,,0.25,18.9
2024-07-23,,,0,13.8
2024-07-24,,,0,14.9
2024-07-25,,,0,16.9
2024-07-26,,,0,13.8
2024-07-27,,,0,11.8
2024-07-28,,,0.25,9.9
2024-07-29,,,24.64,9.9
2024-07-30,,,3.56,11.8
2024-07-31,,,0.51,11.8
2024-08-01,,,0,10.9
2024-08-02,,,0,9.9
2024-08-03,,,0,9.9
2024-08-04,,,0,9.9
2024-08-05,,,0,11.8
2024-08-06,,,0,12.9
2024-08-07,23.39,13.22,1.02,12.9
2024-08-08,19.39,11.89,0,10.9
2024-08-09,17.22,12.89,0,9
2024-08-10,17.11,14.22,0,11.8
2024-08-11,18.78,14.22,0,11.8
2024-08-12,17.72,12.78,0,9.9
2024-08-13,17.61,12.39,0,6
2024-08-14,18.72,11.78,0,13.8
2024-08-15,18.89,12.72,0,11.8
2024-08-16,18.5,10.39,0,12.9
2024-08-17,24.61,8.78,3.05,13.8
2024-08-18,20.72,12.78,0,10.9
2024-08-19,18.72,11.61,4.83,9
2024-08-20,18.11,15.11,0.25,7
2024-08-21,19.78,14.39,0,9.9
2024-08-22,16.78,13.11,1.78,8
2024-08-23,17.72,13.39,1.02,9
2024-08-24,18.39,14.5,0.51,9
2024-08-25,20,12.72,0,7
2024-08-26,19.39,10.11,0,11.8
2024-08-27,19.22,10.22,0,17.9
2024-08-28,23.89,7,0.76,10.9
2024-08-29,29.78,8.11,0,9.9
2024-08-30,27.89,10.89,0,9.9
2024-08-31,30.5,11.78,0,12.9
2024-09-01,18.22,14.61,0,9
2024-09-02,17.28,14.78,1.02,9
2024-09-03,17.78,13.11,0.51,9
2024-09-04,30.72,12.11,0,5
2024-09-05,37.89,17.28,0,6
2024-09-06,23.72,14.11,0,10.9
2024-09-07,19.11,14.5,0,9
2024-09-08,17.5,14.39,0.25,9
2024-09-09,17.39,10.11,0,9.9
2024-09-10,17.11,8.89,21.08,8
2024-09-11,18.78,11.89,9.4,10.9
2024-09-12,17.39,12.5,0,10.9
2024-09-13,16.78,9.39,0,9
2024-09-14,19.22,12.78,5.84,14.9
2024-09-15,17.5,8.78,0,10.9
2024-09-16,18.22,6.61,0,11.8
2024-09-17,16.28,12.61,1.27,8
2024-09-18,18,12.61,0.51,10.9
2024-09-19,16.78,10.72,0,12.9
2024-09-20,16.78,8.72,0,11.8
2024-09-21,19.78,6.5,0,10.9
2024-09-22,16.61,6.78,0.25,8
2024-09-23,17.22,15.28,2.79,7
2024-09-24,24.22,13.89,0,10.9
2024-09-25,16.61,11,11.43,12.9
2024-09-26,18.72,8.39,4.83,9.9
2024-09-27,18.89,9,0.76,11.8
2024-09-28,16.11,5.5,0,11.8
2024-09-29,15.78,5,0,10.9
2024-09-30,22.89,4.5,0,5
2024-10-01,15.22,7,0.25,8
2024-10-02,18.28,5.78,0,11.8
2024-10-03,22.22,4.39,0,3
2024-10-04,15.78,8.28,26.42,9.9
2024-10-05,22.39,7.11,0,7
2024-10-06,17,6.5,0,9.9
2024-10-07,24.72,7,0,9
2024-10-08,15.22,10.39,6.86,6
2024-10-09,16.61,7.61,4.32,9
2024-10-10,20.28,3.28,0,3
2024-10-11,18.72,9.72,0,3.9
2024-10-12,23,8.78,0,11.8
2024-10-13,23.28,10.39,0,7
2024-10-14,15.22,10.39,11.68,8
2024-10-15,13.78,10.72,1.52,7
2024-10-16,15.39,7.61,7.11,12.9
2024-10-17,13.89,5.5,1.52,10.9
2024-10-18,12.22,5.61,26.16,11.8
2024-10-21,14.28,8.5,9.65,13.8
2024-10-22,13.61,5,0,8
2024-10-23,13,2.28,0.76,9.9
2024-10-24,15,4,0.51,3
2024-10-25,15.61,7,9.91,9.9
2024-10-26,15.28,11.61,6.35,19.8
2024-10-27,13.28,8.72,42.93,18.9
2024-10-28,13.39,7.5,1.78,12.9
2024-10-29,13.72,5.89,0.25,7
2024-10-30,11.22,6.28,9.65,11.8
2024-10-31,10.28,6.11,42.42,6
2024-11-01,14,9.11,35.56,8
2024-11-02,12.28,6.61,8.89,11.8
2024-11-03,13,6.39,1.78,11.8
2024-11-04,13.22,9.78,30.48,24.9
2024-11-05,11.78,5.72,0,12.9
2024-11-06,15.89,5.61,0,3
2024-11-07,16.78,5.89,0,6
2024-11-08,15.61,4.78,0,3.9
2024-11-09,11.5,9.72,7.11,6
2024-11-10,12.89,9.11,27.94,7
2024-11-11,13.11,9,12.19,21.8
2024-11-12,12.5,8.89,19.81,16.9
2024-11-13,13.39,10.5,30.73,20.8
2024-11-14,11,2.28,10.16,15.9
2024-11-15,9.5,0.28,1.02,8
2024-11-16,11.78,3.28,43.69,13.8
2024-11-17,11.22,4.22,13.46,18.9
2024-11-18,8.61,2.22,15.75,11.8
2024-11-19,5.28,2.61,11.43,9
2024-11-21,7.5,6.28,8.13,5
2024-11-22,11,7.11,17.53,18.9
2024-11-23,11.28,6.22,10.16,7
2024-11-24,7.78,5.89,10.92,3.9
2024-11-25,10,5.39,11.43,1.9
2024-11-26,10.39,4.72,0.25,3.9
2024-11-27,8.5,3.39,0.51,3.9
2024-11-28,9.78,0.28,0,1.9
2024-11-29,8.39,1.39,0,3.9
2024-11-30,8.5,0.89,0,1.9
2024-12-01,11,-1.39,0.25,3.9
2024-12-02,7.5,0.89,0,3
2024-12-03,10.39,1.11,0,3
2024-12-04,10.11,-0.22,0,1.9
2024-12-05,11.61,1.28,0,1.9
2024-12-06,13.22,3.78,1.27,9.9
2024-12-07,11.61,7.11,42.16,14.9
2024-12-08,10,3,10.41,23.7
2024-12-09,9.28,1.28,0,3
2024-12-10,7.89,3.61,0,6
2024-12-11,11.72,4,0,5
2024-12-12,7.89,4.72,4.06,3.9
2024-12-13,8.11,6,5.08,6
2024-12-14,10.11,5.11,16,23.7
2024-12-15,7.11,2.5,11.43,9.9
2024-12-16,9.78,5.11,18.29,6
2024-12-17,12.39,7.39,82.55,19.8
2024-12-18,12.11,7.39,9.91,31.7
