date,high_c,low_c,rain_mm,gust_kn
2023-01-01,6.72,-0.61,0.25,5
2023-01-02,6.5,3.39,1.52,7
2023-01-03,7.5,3.61,3.3,5
2023-01-04,8.28,3.72,3.05,11.8
2023-01-05,11.61,7.61,15.24,16.9
2023-01-06,10.28,6.78,11.43,6
2023-01-07,8,6,12.95,3.9
2023-01-08,10.39,6,14.99,16.9
2023-01-09,10.61,5.72,43.43,20.8
2023-01-10,12.39,5.78,0.76,9
2023-01-11,11.72,7.61,9.4,7
2023-01-12,11.72,8,48.01,8
2023-01-13,10.89,9.39,25.91,12.9
2023-01-14,11.39,8.61,2.54,6
2023-01-15,8.89,6.39,17.78,17.9
2023-01-16,8.39,6.11,14.73,9
2023-01-17,7.78,6.22,11.94,9
2023-01-18,9.39,1.61,22.86,17.9
2023-01-19,8.61,0.28,0.51,3
2023-01-20,10.22,1,0,1.9
2023-01-21,7.89,0.5,11.43,40.7
2023-01-22,7.22,1.89,2.54,40.7
2023-01-23,8.28,3.11,0.25,3.9
2023-01-24,7.78,4.11,0.51,9
2023-01-25,9.11,4.78,0,1.9
2023-01-26,8.61,4.28,2.29,14.9
2023-01-27,9.39,6.5,3.05,19.8
2023-01-28,8.11,1.5,0.25,3.9
2023-01-29,7.28,-3.11,0,7
2023-01-30,6,-4.5,0,5
2023-01-31,7.11,-0.11,0,3
2023-02-01,9.89,2.78,0,6
2023-02-02,11.89,2.78,0,6
2023-02-03,10.11,6.72,17.02,25.9
2023-02-04,9.61,7.39,6.1,6
2023-02-05,9.28,6.61,3.3,14.9
2023-02-06,9.89,7.11,4.83,12.9
2023-02-07,9.61,4.5,27.43,21.8
2023-02-08,10.28,3.39,1.27,21.8
2023-02-09,13,5.61,11.94,13.8
2023-02-10,10.72,2.11,2.79,13.8
2023-02-11,10.72,-0.22,0,9
2023-02-12,8.78,-0.89,5.84,16.9
2023-02-13,8.11,4,9.91,28.8
2023-02-14,6.89,-1,1.02,12.9
2023-02-15,8.61,-2.72,0,7
2023-02-16,8.11,1.89,5.08,6
2023-02-17,9.11,4.28,10.92,9.9
2023-02-18,8.39,2.89,5.08,14.9
2023-02-19,8.78,3.39,1.52,17.9
2023-02-20,8.39,5.5,6.1,25.9
2023-02-21,8.22,1.11,4.32,25.9
2023-02-22,5.72,-0.72,0.25,8
2023-02-23,2.5,-3.11,0,12.9
2023-02-24,7.89,-4.39,0,9
2023-02-25,5.72,-4.28,7.62,7
2023-02-26,7.11,0.39,19.81,21.8
2023-02-27,4.22,0.22,19.81,9.9
2023-02-28,8,-2,2.79,13.8
2023-03-01,7.5,-3.28,4.06,11.8
2023-03-02,8,3.61,20.32,25.9
2023-03-03,6.22,0.5,29.72,16.9
2023-03-04,4.72,1,21.59,9
2023-03-05,8.22,0.5,0.25,3.9
2023-03-06,7.89,1.89,1.52,10.9
2023-03-07,10.61,1.28,1.27,7
2023-03-08,8.72,1,0.76,10.9
2023-03-09,4.39,2,22.61,9.9
2023-03-10,8.72,2,11.43,13.8
2023-03-11,9.61,2.39,9.4,9.9
2023-03-12,9.11,2.28,22.35,9.9
2023-03-13,9.28,4.11,8.89,14.9
2023-03-14,9.11,0.89,0.25,13.8
2023-03-15,9.72,0.5,1.02,17.9
2023-03-16,15.61,-1.72,0,5
2023-03-17,16.5,5.22,0,9.9
2023-03-18,19.61,3.28,0,8
2023-03-19,14.11,6.72,6.35,8
2023-03-20,10.11,7.28,9.4,11.8
2023-03-21,14.89,2.39,0,9.9
2023-03-22,12.22,0.61,0.25,16.9
2023-03-23,7.89,4,17.53,24.9
2023-03-24,7.39,1.72,13.46,21.8
2023-03-25,9,0.11,3.05,16.9
2023-03-26,8.78,1.22,4.57,11.8
2023-03-27,13.5,1,0,9
2023-03-28,14.39,5.22,0,9.9
2023-03-29,13.72,1.89,0,11.8
2023-03-30,9.11,4.28,2.54,13.8
2023-03-31,7.11,4.22,33.53,17.9
2023-04-01,8.72,2.89,9.14,24.9
2023-04-02,7.28,1.78,8.13,14.9
2023-04-03,9.5,-0.89,0.51,20.8
2023-04-04,8.89,1.11,6.1,9.9
2023-04-05,8.5,1,3.05,5
2023-04-06,10.72,6.5,34.04,11.8
2023-04-07,10.11,6.72,3.3,11.8
2023-04-08,9.11,6.72,9.14,15.9
2023-04-09,10.78,8.22,36.32,18.9
2023-04-10,8.72,5.89,2.29,9
2023-04-11,10.39,4.78,6.86,18.9
2023-04-12,11.22,3.11,5.08,14.9
2023-04-13,10.11,2.28,1.52,13.8
2023-04-14,13,0.39,0,10.9
2023-04-15,11.61,6.39,1.02,9
2023-04-16,9.28,4.22,20.57,17.9
2023-04-17,8.11,2.5,19.81,11.8
2023-04-18,8.5,3.5,16,25.9
2023-04-19,9.5,2.22,16.51,14.9
2023-04-20,8.28,2.72,12.45,15.9
2023-04-21,10.61,7.28,0.51,11.8
2023-04-22,12.72,7.22,13.72,5
2023-04-23,10.61,7,8.38,13.8
2023-04-24,11.78,7.28,1.02,14.9
2023-04-25,12.89,5.89,0,14.9
2023-04-26,15.78,4,0,19.8
2023-04-27,20.78,7.39,0,15.9
2023-04-28,32,8.22,0,10.9
2023-04-29,13.72,9.5,0,13.8
2023-04-30,13.61,9.39,2.03,14.9
2023-05-01,14.5,7.11,0,13.8
2023-05-02,16.39,8.89,0,13.8
2023-05-03,12,9.72,0,10.9
2023-05-04,10.22,9,13.21,11.8
2023-05-05,10.11,7.11,1.78,11.8
2023-05-06,13.5,7,1.27,13.8
2023-05-07,15.28,5.72,0,12.9
2023-05-08,16.61,3.39,0,14.9
2023-05-09,15.39,5.78,0,14.9
2023-05-10,18.89,3.89,0,12.9
2023-05-11,18.78,6.72,0,12.9
2023-05-12,24.39,6,0,12.9
2023-05-13,31.78,8.28,0,11.8
2023-05-14,34.5,13.5,0,8
2023-05-15,24.72,13.28,0,12.9
2023-05-16,17.11,13,0,10.9
2023-05-17,18.28,12.28,0,12.9
2023-05-18,16.39,12.22,0,9
2023-05-19,18.89,11.89,0,14.9
2023-05-20,16,11,0,27.8
2023-05-21,15.5,10.89,0,18.9
2023-05-22,14.61,10.11,0,15.9
2023-05-23,13.78,5.11,0,10.9
2023-05-24,16.22,5.28,0,14.9
2023-05-25,18.78,6.28,0,14.9
2023-05-26,14.72,10.39,0,13.8
2023-05-27,14.28,10.78,0,15.9
2023-05-28,15.61,9.61,0,26.9
2023-05-29,15.78,9.39,0,16.9
2023-05-30,15.5,7.61,0,21.8
2023-05-31,14.89,6.11,0,17.9
2023-06-01,15.89,6.5,0,16.9
2023-06-02,15.22,5,0,15.9
2023-06-03,17.72,5.28,0,15.9
2023-06-04,18,8.11,0,14.9
2023-06-05,21.22,3.22,0,14.9
2023-06-06,24.89,4.39,0,14.9
2023-06-07,16.22,7.28,0,13.8
2023-06-08,16.11,12.28,0,9.9
2023-06-09,13.5,12.11,2.79,8
2023-06-10,15.5,11.78,4.32,12.9
2023-06-11,19.72,11.5,0,12.9
2023-06-12,19.11,10.39,0,12.9
2023-06-13,15.22,12,0,18.9
2023-06-14,14.39,11,0,16.9
2023-06-15,16.22,10.5,0,16.9
2023-06-16,14.89,10.72,0.51,11.8
2023-06-17,14.78,10.22,0,16.9
2023-06-18,13.61,7.11,2.03,15.9
2023-06-19,15.61,4.28,0,13.8
2023-06-20,16.11,9.28,1.02,12.9
2023-06-21,18.78,8.39,0,14.9
2023-06-22,19.78,7.39,0,20.8
2023-06-23,15.11,9,0,13.8
2023-06-24,16.72,11.22,0,16.9
2023-06-25,16.39,10.28,0,15.9
2023-06-26,15.61,10.89,0.25,14.9
2023-06-27,16.11,11.61,0.25,11.8
2023-06-28,16.5,11.72,0.51,14.9
2023-06-29,19.72,11.22,0,12.9
2023-06-30,18.72,11.61,0,15.9
2023-07-01,19.78,10.72,0,15.9
2023-07-02,19,8,0,15.9
2023-07-03,19.39,9.61,0,11.8
2023-07-04,25,8.89,0,12.9
2023-07-05,22.28,9.89,0,12.9
2023-07-06,15.39,12.22,0,10.9
2023-07-07,16.39,12.89,0,10.9
2023-07-08,18.72,10.78,0,10.9
2023-07-09,17.61,8,0,14.9
2023-07-10,18.61,12.78,0,9.9
2023-07-11,18.78,13.22,0,10.9
2023-07-12,17.89,12.39,1.02,11.8
2023-07-13,21.11,9.61,0,14.9
2023-07-14,23,9,0,14.9
2023-07-15,20.28,9.89,0,14.9
2023-07-16,19,12.72,0,13.8
2023-07-17,19.78,13.22,0.51,13.8
2023-07-18,22.11,9.72,0,15.9
2023-07-19,21.5,9.89,0,14.9
2023-07-20,17.39,13.22,0.25,11.8
2023-07-21,18,13.61,0,13.8
