date,high_c,low_c,rain_mm,gust_kn
2025-01-01,6.28,2.39,0.51,3
2025-01-02,7.89,5.22,6.6,3
2025-01-03,10.28,6.28,13.97,8
2025-01-04,9.22,7,32.51,11.8
2025-01-05,10.28,7.39,2.54,9.9
2025-01-06,9.78,4.78,0.25,6
2025-01-07,8.28,3.78,3.3,5
2025-01-08,10.78,6.22,1.02,5
2025-01-09,13.28,5.5,0,6
2025-01-10,10.11,5.5,16.51,18.9
2025-01-11,9.28,6.11,1.52,18.9
2025-01-12,9,0.22,0,1.9
2025-01-13,8.61,0.22,0,1.9
2025-01-14,9.61,0.61,0,5
2025-01-15,12.22,2.11,0,1.9
2025-01-16,9.78,-0.22,0.51,12.9
2025-01-17,9.11,-1.5,0.25,3
2025-01-18,10,-1.5,0.25,3
2025-01-19,8.5,-2.72,0,3
2025-01-20,9.11,-2.5,0,3
2025-01-21,7.89,-3.28,0,5
2025-01-22,10,-2.78,0.25,3.9
2025-01-23,8.61,-1.5,0,9
2025-01-24,8.89,-2.22,0,1.9
2025-01-25,12.72,-3.39,0.25,3.9
2025-01-26,11.78,-3.5,0,3.9
2025-01-27,15,-1.39,0,3.9
2025-01-28,13.11,-1.72,0,3.9
2025-01-29,6.78,-2.89,0,5
2025-01-30,6.5,3.89,14.48,3
2025-01-31,9.78,4.11,35.05,23.7
2025-02-01,6.39,-0.11,5.59,23.7
2025-02-02,5.11,-0.72,4.57,16.9
2025-02-03,4.5,-1,3.3,5
2025-02-04,4.61,-0.61,1.02,5
2025-02-05,3.39,0.11,14.22,6
2025-02-06,6.22,-1.39,3.3,8
2025-02-07,5.89,-2.39,3.05,9.9
2025-02-08,6.61,1,6.86,7
2025-02-09,5.89,-2,0,1.9
2025-02-10,6.39,-2.72,0.25,3.9
2025-02-11,7,-3.72,0,3.9
2025-02-12,6.11,-2.61,0,6
2025-02-13,2.72,-0.28,2.03,9.9
2025-02-14,7.5,-0.78,0.25,9
2025-02-15,5.11,2.11,12.7,5
2025-02-16,9.72,4.5,31.5,9
2025-02-17,9.22,7.11,9.4,8
2025-02-18,9.5,6.78,13.97,5
2025-02-19,9.28,6.22,9.91,15.9
2025-02-20,10.28,5.78,0,3.9
2025-02-21,11,6.28,15.75,7
2025-02-22,10.89,9,54.36,26.9
2025-02-23,11.11,6.89,20.83,20.8
2025-02-24,12.22,6.89,35.31,20.8
2025-02-25,11.11,4.89,6.35,29.7
2025-02-26,15.22,4,0,7
2025-02-27,13.89,4.5,0,6
2025-02-28,18.72,6.5,0,7
2025-03-01,10.39,2.78,0.25,8
2025-03-02,11.22,7.39,0.76,8
2025-03-03,10,6,0.76,11.8
2025-03-04,10.89,6.22,9.14,14.9
2025-03-05,11.61,1.78,8.38,10.9
2025-03-06,11.5,-1,0,9.9
2025-03-07,11.11,1.89,0,10.9
2025-03-08,11,6.89,3.05,14.9
2025-03-09,10.39,3.72,20.57,12.9
2025-03-10,9.11,2.22,0.51,6
2025-03-11,10.28,4.78,0.25,7
2025-03-12,8.5,5.11,18.8,13.8
2025-03-13,8.5,2.11,5.84,17.9
2025-03-14,10.28,2.11,3.05,6
2025-03-15,10.11,4.61,9.4,20.8
2025-03-16,10.61,3.39,7.62,9.9
2025-03-17,9.61,1,2.54,13.8
2025-03-18,10.39,0.22,1.02,7
2025-03-19,10.5,5.78,9.65,15.9
2025-03-20,9.61,5.72,28.45,18.9
2025-03-21,11.72,5.61,8.64,18.9
2025-03-22,10.89,2.78,1.27,9
2025-03-23,10.5,6.5,52.32,20.8
2025-03-24,11.39,9.89,28.19,9
2025-03-25,19,9.28,0,9
2025-03-26,23.78,11.61,0,9.9
2025-03-27,12.61,8.22,15.49,8
2025-03-28,11.28,7.39,14.48,15.9
2025-03-29,11.61,4.39,16,8
2025-03-30,16.72,4.28,10.67,9.9
2025-03-31,12,4.5,3.81,11.8
2025-04-01,12.5,2.28,0,16.9
2025-04-02,11,5.11,0,12.9
2025-04-03,15.28,0.5,0,14.9
2025-04-04,22.28,1.39,0,10.9
2025-04-05,19.5,7,0.25,11.8
2025-04-06,11.78,8.5,28.19,9
2025-04-07,11.22,8.22,21.59,13.8
2025-04-08,11.78,7.89,35.81,18.9
2025-04-09,18.39,5.39,1.27,9
2025-04-10,15.28,7.89,4.57,17.9
2025-04-11,12.11,5,0.76,14.9
2025-04-12,12.5,3.78,0.76,16.9
2025-04-13,16.39,1.22,0,12.9
2025-04-14,22.5,4.78,0,11.8
2025-04-15,15.11,4.11,0,14.9
2025-04-16,14.61,2.72,0,11.8
2025-04-17,19.28,1.39,0,14.9
2025-04-18,18.11,2.78,0,14.9
2025-04-19,13,8.89,0,18.9
2025-04-20,13.61,7.89,0.51,16.9
2025-04-21,12.5,3.78,0.25,17.9
2025-04-22,14.11,0.72,0,14.9
2025-04-23,16.11,1.39,0,13.8
2025-04-24,21.5,1.72,0,12.9
2025-04-25,17.89,7.22,0,12.9
2025-04-26,13.78,9.28,0,17.9
2025-04-27,11.89,9.28,0,13.8
2025-04-28,11.72,9,4.32,9.9
2025-04-29,12.61,5.72,4.83,14.9
2025-05-01,23.72,2.61,0,10.9
2025-05-02,13.5,6.89,0.25,11.8
2025-05-03,13.39,4.22,0,14.9
2025-05-04,15.28,2,0,15.9
2025-05-05,19.5,1.89,0,12.9
2025-05-06,25.39,4.78,0,11.8
2025-05-07,14.22,6.89,1.27,16.9
2025-05-08,16.22,4.78,0,11.8
2025-05-09,17.39,3.28,0,13.8
2025-05-10,14.72,6.61,0,11.8
2025-05-11,13.28,8.11,5.59,9
2025-05-12,15.72,8.78,3.3,15.9
2025-05-13,13.39,9.78,0,12.9
2025-05-14,14.61,9.22,0.25,16.9
2025-05-15,11.78,8.78,3.81,8
2025-05-16,12.22,9.11,13.72,8
2025-05-17,14.39,9,3.56,17.9
2025-05-18,14.11,8.22,0.25,12.9
