date,high_c,low_c,rain_mm,gust_kn
2022-01-01,4.61,-3.22,0,7
2022-01-02,8,1.22,37.34,19.8
2022-01-03,6.5,0,6.35,20.8
2022-01-04,6.11,0.11,9.65,20.8
2022-01-05,2.89,-0.61,21.08,9
2022-01-06,9.72,2.22,173.48,21.8
2022-01-07,9.39,2.22,15.75,28.8
2022-01-08,7.5,1.39,1.78,6
2022-01-09,12.11,2.72,0,8
2022-01-10,9.78,5.78,20.57,8
2022-01-11,11.11,9.72,95,19.8
2022-01-12,13.89,10.11,29.21,12.9
2022-01-13,11.11,5.5,19.56,6
2022-01-14,13,4.78,0.25,6
2022-01-15,8.28,3.28,0,5
2022-01-16,10.39,3.5,0,3
2022-01-17,9.22,2.39,5.84,7
2022-01-18,8.72,6.89,1.52,11.8
2022-01-19,10,6.61,8.64,7
2022-01-20,10.22,5.28,11.68,21.8
2022-01-21,7.28,0.78,0,5
2022-01-22,10.5,-0.61,0.25,7
2022-01-23,12.39,2.61,0,3.9
2022-01-24,10,2,0,5
2022-01-25,10.89,1.22,0,3.9
2022-01-26,11.22,0.28,0,5
2022-01-27,14.22,1.22,0,8
2022-01-28,10.11,-1.61,0,5
2022-01-29,11.72,-0.89,1.52,3.9
2022-01-30,9.11,3.89,18.03,22.8
2022-01-31,7.78,0.39,4.57,19.8
2022-02-01,7.22,0.5,1.78,10.9
2022-02-02,7.11,0.5,4.32,9.9
2022-02-03,9.11,5.72,1.78,7
2022-02-04,8.72,5.28,5.59,13.8
2022-02-05,9.39,5.11,0,8
2022-02-06,14.61,2.72,0,7
2022-02-07,10.11,2.61,3.56,11.8
2022-02-08,8,4.22,0.25,6
2022-02-09,11.78,5.5,1.78,3
2022-02-10,11.39,6.72,0.25,8
2022-02-11,14.61,2.28,0,7
2022-02-12,20.5,3.5,0,7
2022-02-13,16.28,2.61,0,11.8
2022-02-14,8.78,2.11,5.08,15.9
2022-02-15,8.78,1.22,0,8
2022-02-16,11.72,2.72,1.52,9.9
2022-02-17,8.61,3.78,0.51,9
2022-02-18,7.78,4.78,1.02,7
2022-02-19,8.11,4.61,7.62,15.9
2022-02-20,9.28,3.5,7.11,19.8
2022-02-21,11.5,-1.22,11.94,11.8
2022-02-22,5.39,-1.5,0.25,7
2022-02-23,3.72,-3.5,0,10.9
2022-02-24,9.78,-2.61,0,6
2022-02-25,11.89,-3.28,0,5
2022-02-26,7.72,3.11,21.59,11.8
2022-02-27,10.5,7.22,36.07,19.8
2022-02-28,10.22,9.22,76.96,18.9
2022-03-01,11,9.11,11.68,10.3
2022-03-02,9.39,5.89,1.78,10.3
2022-03-03,8.72,5,6.6,18.3
2022-03-04,10.72,1.39,2.03,12.5
2022-03-05,9.78,1.39,0.25,12.5
2022-03-06,10.72,1.39,0,9.2
2022-03-07,10.39,0.61,0,18.3
2022-03-08,9.61,4.11,3.3,15.9
2022-03-09,13.39,1.5,0,11.4
2022-03-10,9.11,-2.28,0,8.1
2022-03-11,10.11,3.39,0,10.3
2022-03-12,9.11,5.5,30.48,11.4
2022-03-13,9.89,4.72,13.72,18.3
2022-03-14,8.78,6.22,44.2,12.5
2022-03-15,11,6.61,6.86,19.5
2022-03-16,11,3.61,1.27,13.6
2022-03-17,8.28,5.39,10.41,10.3
2022-03-18,9.61,6.72,9.91,12.5
2022-03-19,10.11,3.28,8.13,22.8
2022-03-20,8.22,2.39,22.86,12.5
2022-03-21,8.89,5.11,17.53,5.8
2022-03-22,15,8.5,11.68,8.1
2022-03-23,11.39,3.28,5.59,17.2
2022-03-24,17.89,1,0,6.9
2022-03-25,11.78,6.72,0,14.8
2022-03-26,12.89,6.78,3.56,3.4
2022-03-27,13.78,9.22,0,9.2
2022-03-28,10.11,7.89,1.27,12.5
2022-03-29,9.89,7.39,0,14.8
2022-03-30,10.78,5.28,2.79,19.5
2022-03-31,10.28,2.5,1.27,20.6
2022-04-01,9.61,3.22,1.27,10.9
2022-04-02,11.61,4.72,1.02,14.9
2022-04-03,9.89,6,50.29,20.8
2022-04-04,10.11,4.78,10.16,33.6
2022-04-05,10.28,1,0.51,28.8
2022-04-06,16.89,-0.61,0,8
2022-04-07,24,8.72,0,14.9
2022-04-08,10.5,6,7.62,39.6
2022-04-09,9.78,3,9.4,27.8
2022-04-10,7.72,2.11,3.3,30.7
2022-04-11,11.78,1.39,2.03,21.8
2022-04-12,8.28,1.28,8.13,19.8
2022-04-13,9.39,0.28,2.79,9
2022-04-14,10.61,0.22,0,12.9
2022-04-15,10.11,0.28,1.78,9.9
2022-04-16,9.89,-0.72,0,15.9
2022-04-17,14.78,0.72,0.25,10.9
2022-04-18,8.28,5,48.51,14.9
2022-04-19,11,3.22,3.56,17.9
2022-04-20,8.28,4,18.03,12.9
2022-04-21,11.78,6.22,12.45,12.9
2022-04-22,12.72,5.28,0,14.9
2022-04-23,13.39,4.22,0,9
2022-04-24,12.89,1.61,9.65,13.8
2022-04-25,12,6.61,2.03,10.9
2022-04-26,11.39,5,4.57,14.9
2022-04-27,11.72,3.72,1.78,12.9
2022-04-28,12,0.28,1.27,10.9
2022-04-29,14,6.5,13.21,9.9
2022-04-30,13.22,6.72,12.45,10.9
2022-05-01,12.89,4.39,0,9
2022-05-02,13.72,7.78,5.84,14.9
2022-05-03,11.22,6.78,0,12.9
2022-05-04,15.22,5.11,0,9.9
2022-05-05,10.22,6.39,31.75,17.9
2022-05-06,12.5,6.28,25.4,12.9
2022-05-07,10.5,5.22,3.81,21.8
2022-05-08,12.5,3.28,0.25,14.9
2022-05-09,12,3.22,1.52,13.8
2022-05-10,13.11,3,0,12.9
2022-05-11,12.39,4.39,15.49,17.9
2022-05-12,11.11,4.22,34.8,17.9
2022-05-13,13.39,4,3.05,9.9
2022-05-14,12.5,6.89,3.81,11.8
2022-05-15,16.39,10.11,20.32,11.8
2022-05-16,12.89,6,0.76,17.9
2022-05-17,13,5.39,0,10.9
2022-05-18,12.5,7.11,22.35,25.9
2022-05-19,13.28,5.72,2.03,18.9
2022-05-20,14.22,3.22,0,13.8
2022-05-21,14.89,4.11,0,15.9
2022-05-22,16.11,8.61,0,10.9
2022-05-23,13.39,9.5,0,13.8
2022-05-24,13.11,8.89,0.25,7
2022-05-25,14.78,9.28,3.81,9
2022-05-26,18.89,7.22,9.14,9.9
2022-05-27,13.61,9.61,4.83,13.8
2022-05-28,11.11,9.22,35.56,8
2022-05-29,12.22,7.78,1.27,16.9
2022-05-30,14.61,5.78,0,13.8
2022-05-31,19.89,7.61,0,13.8
2022-06-01,17.89,9.39,0,9.9
2022-06-02,16.89,10.72,0,11.8
