date,high_c,low_c,rain_mm,gust_kn
2021-01-01,10.28,7.89,34.8,16.9
2021-01-02,10.39,5.39,89.41,24.9
2021-01-03,11,4.39,22.1,13.8
2021-01-04,10.72,5.22,43.18,16.9
2021-01-05,8.78,5.22,51.31,18.9
2021-01-09,7.39,2,6.35,7
2021-01-10,9.61,4.89,3.56,7
2021-01-11,10.89,8.22,73.91,13.8
2021-01-12,12.22,8.39,61.72,32.7
2021-01-13,10.22,5,0.76,32.7
2021-01-14,12.39,5.28,11.18,7
2021-01-15,10.61,2.5,0.25,7
2021-01-16,9.61,3.28,3.56,5
2021-01-17,11.39,2.39,5.08,10.9
2021-01-18,10.61,1.78,0,3
2021-01-19,11.39,0.78,0,3.9
2021-01-20,9.39,0.89,0.51,3
2021-01-21,7.61,1.61,1.52,5
2021-01-22,11,-1.22,0,3
2021-01-23,6.89,-1.61,2.03,6
2021-01-24,6.11,2.22,22.61,11.8
2021-01-25,6.28,0.78,12.45,10.9
2021-01-26,3.28,0.5,9.91,9
2021-01-27,6.22,1.5,7.87,5
2021-01-28,10,1,2.03,3
2021-01-29,8.11,0.89,3.56,5
2021-01-30,7.72,4.28,10.92,6
2021-01-31,8.22,5.5,60.2,6
2021-02-01,9.22,5.11,42.16,7
2021-02-02,8.39,3.22,37.85,14.9
2021-02-03,8.78,0.89,3.05,6
2021-02-04,8.78,5.39,6.86,19.8
2021-02-05,9.11,7,6.1,20.8
2021-02-06,8.78,6.28,2.29,23.7
2021-02-07,7.22,4,2.03,21.8
2021-02-08,7,-1.5,0,9.9
2021-02-09,9.61,-2.28,0,6
2021-02-10,7.5,-2.72,0.25,7
2021-02-11,3,-1.28,2.54,11.8
2021-02-12,-0.22,-2,0,10.9
2021-02-13,3.89,-2,1.78,10.9
2021-02-14,4,0.61,12.45,6
2021-02-15,8,3,12.95,19.8
2021-02-16,9.72,5.5,6.35,17.9
2021-02-17,9.28,3.22,0,7
2021-02-18,7.89,3.72,8.89,12.9
2021-02-19,8.5,3.78,8.64,20.8
2021-02-20,8.61,1.39,9.91,16.9
2021-02-21,9.11,7.39,24.64,23.7
2021-02-22,9.72,6.22,33.27,20.8
2021-02-23,8,2.5,10.16,20.8
2021-02-24,9,-1.39,0.25,6
2021-02-25,7.72,4.39,21.59,31.7
2021-02-26,8.72,4.28,8.64,29.7
2021-02-27,8,-0.28,0.25,10.9
2021-02-28,8.72,5.89,3.56,7
2021-03-01,10.61,5.78,0,8
2021-03-02,8.5,1.39,0,9.9
2021-03-03,8.5,0,0,9
2021-03-04,8.89,5.61,26.16,11.8
2021-03-05,11.5,5.89,21.59,13.8
2021-03-06,10.28,5.72,2.79,18.9
2021-03-07,9.72,2.28,12.7,19.8
2021-03-08,12.72,1.72,0.76,9.9
2021-03-09,10.61,1.5,2.54,8
2021-03-10,10.5,-1.5,0,12.9
2021-03-11,11.78,-2.11,0,11.8
2021-03-12,11.72,-1.89,0.25,10.9
2021-03-13,11.72,-0.89,0,10.9
2021-03-14,8.39,0.28,8.13,13.8
2021-03-15,9.11,-0.89,0.76,13.8
2021-03-16,10.39,-2.5,0.25,9.9
2021-03-17,15.22,-0.72,0,11.8
2021-03-18,11.89,3.61,7.87,11.8
2021-03-19,8.61,5.11,29.46,15.9
2021-03-20,9.72,5.28,3.56,22.8
2021-03-21,8.11,3.89,27.43,16.9
2021-03-22,10.28,2.39,1.27,15.9
2021-03-23,10.5,-1,0,13.8
2021-03-24,9.39,6.11,14.73,18.9
2021-03-25,11.78,3.78,1.27,12.9
2021-03-26,10.39,2,0,13.8
2021-03-27,10,2,0,17.9
2021-03-28,8.5,3,21.34,28.8
2021-03-29,10.28,1.72,0.25,22.8
2021-03-30,11.28,0.22,0,9
2021-03-31,20.89,0.22,0,10.9
2021-04-01,10,2.89,0,12.9
2021-04-02,12,3.61,0,10.9
2021-04-03,13.11,3.5,0,9.9
2021-04-04,10.89,0.5,0,18.9
2021-04-05,10.5,-1.78,0,12.9
2021-04-06,11.39,1.28,0,13.8
2021-04-07,8.22,6,6.86,20.8
2021-04-08,10.11,1.5,1.27,18.9
2021-04-09,8.5,-0.61,3.05,19.8
2021-04-10,9.28,0.28,2.03,21.8
2021-04-11,11.28,-2.11,0,13.8
2021-04-12,19.28,-0.61,0,12.9
2021-04-13,21.11,0.28,0,8
2021-04-14,19.89,0.11,0,14.9
2021-04-15,26,2.11,0,12.9
2021-04-16,29.28,4,0,12.9
2021-04-17,31.5,8.89,0,12.9
2021-04-18,16.11,5.5,0,12.9
2021-04-19,15.5,8.61,0,11.8
2021-04-20,15.5,8.39,0,14.9
2021-04-21,12.72,7.72,0,14.9
2021-04-22,12.89,7.78,0,11.8
2021-04-23,10.78,8.89,0,8
2021-04-24,9.72,7.22,17.02,8
2021-04-25,12.22,4.89,9.14,14.9
2021-04-26,13.22,4.89,2.29,9.9
2021-04-27,12.72,6,0,11.8
2021-04-28,16,5.28,0,9.9
2021-04-29,14.39,6.61,0,10.9
2021-04-30,13.39,6.78,9.4,11.8
2021-05-01,14.22,5.5,0,17.9
2021-05-02,15.61,1.89,0,16.9
2021-05-03,12.39,6.28,10.92,9.9
2021-05-04,15.11,5,0,16.9
2021-05-05,25.61,3.39,0,8
2021-05-06,13.61,6.89,2.79,26.9
2021-05-07,12.61,6.11,2.54,16.9
2021-05-08,12.22,3.89,1.27,9.9
2021-05-09,15.28,8.11,0,16.9
2021-05-10,14.61,7.39,0,14.9
2021-05-11,15.78,3.78,0,17.9
2021-05-12,17,8.39,0,15.9
2021-05-13,15.22,7.78,0,12.9
2021-05-14,14.28,7.78,0,14.9
2021-05-15,13.11,7.89,0,19.8
2021-05-16,13.11,7.78,0,17.9
2021-05-17,12.39,9.39,1.78,21.8
2021-05-18,13.11,5.22,3.05,17.9
2021-05-19,13.5,1.11,0,17.9
2021-05-20,12.89,3.89,0,17.9
2021-05-21,11.72,8.61,0,13.8
2021-05-22,13.61,7.89,0,14.9
2021-05-23,13.61,9.78,0,11.8
2021-05-24,12.78,9.72,15.24,9.9
2021-05-25,14.5,9.89,0,11.8
2021-05-26,14.22,9.39,0,10.9
2021-05-27,13.22,9.39,12.45,23.7
2021-05-28,14.61,6.61,0.76,25.9
2021-05-29,21.89,3.72,0,15.9
2021-05-30,23.39,7.11,0,14.9
2021-05-31,23.78,8.72,0,14.9
2021-06-01,28.28,10.5,0,12.9
2021-06-02,19.78,12.61,0,14.9
2021-06-03,16.89,9.78,0,19.8
2021-06-04,16.78,9.28,0,14.9
2021-06-05,14.28,8.89,5.84,21.8
2021-06-06,14,7,44.7,13.8
2021-06-07,14.78,4.61,1.52,9
2021-06-08,14.72,6.11,0,13.8
2021-06-09,15.78,5.78,2.54,11.8
2021-06-10,15.89,7,0.51,11.8
2021-06-11,17,10.39,7.62,9
2021-06-12,24.22,10.61,10.16,9
2021-06-13,16.22,13.72,17.27,13.8
2021-06-14,17.11,12.72,0,12.9
2021-06-15,17.11,12.11,0.25,14.9
2021-06-16,20.78,11.39,0,13.8
2021-06-17,20.11,7.89,0,13.8
2021-06-18,17.72,11.22,0,17.9
2021-06-19,18.22,8.72,0,16.9
2021-06-20,22.72,11.78,0,12.9
2021-06-21,21.78,10.89,0,11.8
2021-06-22,16.39,12.72,0,11.8
2021-06-23,17.28,11.78,0.51,10.9
2021-06-24,17.22,12.72,0,9.9
2021-06-25,26.22,13.28,0,9
2021-06-26,31.78,15.11,0,13.8
2021-06-27,41.89,17.11,0,9
2021-06-28,40.11,16.11,0,13.8
2021-06-29,19.78,14.89,0.51,9
2021-06-30,18.39,16,0,10.9
2021-07-01,16.78,15,0,12.5
2021-07-02,18.11,13.89,0.25,9.2
2021-07-03,17.22,13.89,0,11.4
2021-07-04,16.5,13.28,0,15.9
2021-07-05,15.72,12.72,0,11.4
2021-07-06,18.11,12.39,0,15.9
2021-07-07,15.78,12.61,1.27,12.5
2021-07-08,17.5,12.5,0.25,15.9
2021-07-09,20.11,12.72,0,15.9
2021-07-10,17.72,11.39,0,18.3
2021-07-11,18.39,11.22,0,20.6
2021-07-12,15.11,11.61,0,18.3
2021-07-13,17.11,11.89,0,17.2
2021-07-14,16.22,11.72,0,17.2
2021-07-15,16.5,12.22,0,15.9
2021-07-16,17.89,12.11,1.02,10.3
2021-07-17,19.5,12.61,0.76,14.8
2021-07-18,21.11,10.78,0,17.2
2021-07-19,18.89,9.11,0,14.8
2021-07-20,18.89,12.72,0,18.3
2021-07-21,18.28,9.5,0,14.8
2021-07-22,20.28,8.61,0,15.9
2021-07-23,20.78,9.61,0,15.9
2021-07-24,20.89,13.22,0,17.2
2021-07-25,20.78,10.89,0,19.5
2021-07-26,20.61,12.72,0,17.2
2021-07-27,19.28,12.61,0,15.9
2021-07-28,23.61,9.28,0,14.8
2021-07-29,24.22,10.72,0,17.2
2021-07-30,21.61,11.11,0,13.6
2021-08-01,17.5,13.11,0,14.9
2021-08-02,21.89,11.89,0,11.8
2021-08-03,20.28,8.5,0,14.9
2021-08-04,23.5,13.28,0,14.9
2021-08-05,18.78,13.11,1.52,11.8
2021-08-06,18.89,13.78,4.06,11.8
2021-08-07,17.5,13.72,10.92,11.8
2021-08-08,17.28,10.78,0.51,11.8
2021-08-09,20.28,9.39,0,11.8
2021-08-10,21.89,10.5,0,13.8
2021-08-11,29.22,12.22,0,10.9
2021-08-12,30.28,14.22,0,14.9
2021-08-13,19.22,13.11,0,9
2021-08-14,19.28,15.61,0.25,10.9
2021-08-15,17.5,15,0.25,9
2021-08-16,18.11,13,0.76,12.9
2021-08-17,18.11,13.61,0,10.9
2021-08-18,18,13.11,0,9.9
2021-08-19,16.61,13,0.25,20.8
2021-08-20,14.78,12.78,0,12.9
2021-08-21,17.11,12.72,0,9.9
2021-08-22,16.78,11.28,0,18.9
2021-08-23,16.89,9.28,0,12.9
2021-08-24,20.61,7,0,12.9
2021-08-25,17.5,11.72,0.76,9.9
2021-08-26,16.5,14.11,5.33,9.9
2021-08-27,19.39,11.11,0,13.8
2021-08-28,21.22,7.28,0,13.8
2021-08-29,18.89,8.5,0,15.9
2021-08-30,17,10.11,0.25,12.9
2021-08-31,18.39,7.5,0.25,16.9
2021-09-01,18.61,5.39,0,13.8
2021-09-02,20.22,6.22,0,11.8
2021-09-03,20.28,8.11,0,15.9
2021-09-04,19.22,8.39,0.25,9.9
2021-09-05,17,13.39,2.54,9.9
2021-09-06,19.89,11.11,0,12.9
2021-09-07,24,8.78,0,11.8
2021-09-08,20.5,13.22,0.51,9.9
2021-09-09,19.89,11.5,0.51,9
2021-09-10,18.11,10.89,0.76,13.8
2021-09-11,17.78,11.22,0,7
2021-09-12,18.89,12,0,16.9
2021-09-13,19,8.61,0,13.8
2021-09-14,18.28,7.61,0.51,9
2021-09-15,17.22,8.22,0.25,18.9
2021-09-16,20,4.89,0,14.9
2021-09-17,15.89,10.11,44.2,18.9
2021-09-18,17.28,11.5,20.57,18.9
2021-09-19,16.78,11.28,4.57,13.8
2021-09-20,18.61,9.61,0.25,10.9
2021-09-21,28.39,9.22,0,6
2021-09-22,16.11,10.28,0.76,9.9
2021-09-23,17.89,7.39,0.25,10.9
2021-09-24,29.39,9.22,0,8
2021-09-25,15.39,8.78,0,10.9
2021-09-26,14.11,13.11,0,9
2021-09-29,13.78,12.61,26.92,9
2021-09-30,16,10.22,22.86,14.9
2021-10-01,17.39,7.78,0.25,10.9
2021-10-02,16.39,6.61,0,9.9
2021-10-03,16,8.11,1.02,13.8
2021-10-04,15.61,5.61,0,10.9
2021-10-05,14.72,8.72,6.6,18.9
2021-10-06,14.11,5.39,5.84,11.8
2021-10-07,16,1,0,14.9
2021-10-08,15.22,5,0,7
2021-10-09,14.5,7.72,20.07,19.8
2021-10-10,13.11,4.39,1.78,15.9
2021-10-11,12.39,1.22,0,9.9
2021-10-12,8.5,1.39,14.22,3.9
2021-10-13,12.61,2.22,4.32,7
2021-10-14,14.39,9.22,7.11,9.9
2021-10-15,15.22,12.11,2.03,9
2021-10-16,16.22,11.72,5.59,11.8
2021-10-17,11.89,6.22,8.13,12.9
2021-10-18,13.61,2.28,0.25,6
2021-10-19,14.72,5.78,0.25,3.9
2021-10-20,15.11,10.11,19.3,15.9
2021-10-21,14.78,11,12.45,10.9
2021-10-22,13.61,10,17.02,8
2021-10-23,13.22,9.28,13.97,8
2021-10-24,14.39,9.39,21.84,22.8
2021-10-25,12.5,9.89,25.65,18.9
2021-10-26,13.22,9.28,24.13,20.8
2021-10-27,12.89,9.22,10.67,12.9
2021-10-28,14,9,61.72,21.8
2021-10-29,12.22,5.11,3.81,9.9
2021-10-30,14.61,0.89,0,8
2021-10-31,16.28,7.39,0,7
2021-11-01,11.78,7.11,12.19,7
2021-11-02,10.39,8,17.53,6
2021-11-03,12.61,10.28,17.02,8
2021-11-04,12.89,8.78,34.29,22.8
2021-11-05,11.22,5.5,21.34,23.7
2021-11-06,10.89,5.78,23.11,20.8
2021-11-07,10.61,5.11,13.46,19.8
2021-11-08,12.22,5,9.65,8
2021-11-09,11.39,6.72,16.76,26.9
2021-11-10,10.28,3.28,7.62,5
2021-11-11,13.28,8.11,74.93,11.8
2021-11-12,13.11,6.11,23.62,12.9
2021-11-13,13,4.5,22.61,18.9
2021-11-14,13.39,12.5,22.1,18.9
2021-11-15,13.39,6,29.46,30.7
2021-11-16,9.61,0.89,2.54,14.9
2021-11-17,9.22,1.39,0.25,7
2021-11-18,7.72,5.61,18.03,7
2021-11-19,10.61,5.61,3.3,10.9
2021-11-20,9.22,2.61,0.51,3.9
2021-11-21,11.72,1,0,3
2021-11-22,9.28,1.11,12.19,7
2021-11-23,10.72,2.61,12.7,15.9
2021-11-24,8.72,2.72,2.29,3
2021-11-25,11.22,5.28,65.02,15.9
2021-11-26,11.22,7.39,1.27,9.9
2021-11-27,12.61,8.72,46.23,12.9
2021-11-28,12.28,11.28,23.88,18.9
2021-11-29,12.78,10.5,2.29,9
2021-11-30,11.78,9.61,56.64,12.9
2021-12-01,11.5,9.61,3.05,17.9
2021-12-02,9.61,4.11,1.02,9
2021-12-03,8.5,2.78,0,6
2021-12-04,6.22,-0.39,9.91,6
2021-12-05,5.61,-1.11,2.54,3.9
2021-12-06,8.5,2.61,6.6,3.9
2021-12-07,10.11,5.5,3.3,18.9
2021-12-08,9,2.22,4.06,21.8
2021-12-09,7.72,1.89,8.64,19.8
2021-12-10,9.28,1.5,22.61,21.8
2021-12-11,10.5,4.39,23.37,26.9
2021-12-12,7,2,17.53,22.8
2021-12-13,5.39,2.22,8.64,10.9
2021-12-14,4.5,0.61,30.48,8
2021-12-15,4.22,1.78,7.62,9
2021-12-16,7.72,-0.22,0.76,9
2021-12-17,5.22,-0.39,12.19,5
2021-12-18,10.28,3.89,58.17,25.9
2021-12-19,6.39,2,1.27,25.9
2021-12-20,4.11,1.89,5.59,8
2021-12-21,9.22,2.28,4.83,12.9
2021-12-22,9.89,5.39,16,16.9
2021-12-23,7.22,3.78,7.62,22.8
2021-12-24,6.39,2.5,11.68,22.8
2021-12-25,5.22,-0.5,3.81,20.8
2021-12-26,3.89,-5.28,3.05,25.9
2021-12-27,-3.28,-6.89,0,3
2021-12-28,-1,-3.61,0,3
2021-12-29,0.89,-5.5,0.25,1.9
2021-12-30,5.89,-1.22,3.05,27.8
